,goleador_local,goleador_visitante,equipo_local,equipo_visitante
163,['M. Bolatti'],[],Sarmiento,Arsenal de Sarandí
164,[],['L. Acosta'],Sarmiento,Arsenal de Sarandí
165,[],['M. Casierra'],Sarmiento,Arsenal de Sarandí
166,['C. Matheu'],[],Sarmiento,Arsenal de Sarandí
167,['W. Erviti'],[],Sarmiento,Arsenal de Sarandí
168,['S. Silva'],[],Sarmiento,Arsenal de Sarandí
169,['E. Cecchini'],[],Sarmiento,Arsenal de Sarandí
170,['E. Olivera'],[],Sarmiento,Arsenal de Sarandí
171,[],['E. Gómez'],Sarmiento,Arsenal de Sarandí
172,[],['D. Vera'],Sarmiento,Arsenal de Sarandí
174,['D. Morales'],[],Sarmiento,Arsenal de Sarandí
175,[],['J. Insaurralde'],Sarmiento,Arsenal de Sarandí
176,[],['L. Sosa'],Sarmiento,Arsenal de Sarandí
177,[],['D. Mendoza'],Sarmiento,Arsenal de Sarandí
179,[],['I. Torres'],Sarmiento,Arsenal de Sarandí
180,['H. Barcos'],[],Sarmiento,Arsenal de Sarandí
181,['D. Zabala'],[],Sarmiento,Arsenal de Sarandí
182,[],['M. Figueroa'],Sarmiento,Arsenal de Sarandí
183,['F. Mancinelli'],[],Sarmiento,Arsenal de Sarandí
184,[],['A. Zárate'],Sarmiento,Arsenal de Sarandí
185,['G. Gudiño'],[],Sarmiento,Arsenal de Sarandí
186,[],['G. Bou'],Sarmiento,Arsenal de Sarandí
187,[],['Ó. Romero'],Sarmiento,Arsenal de Sarandí
188,['M. Borgnino'],[],Sarmiento,Arsenal de Sarandí
190,[],['W. Montoya'],Sarmiento,Arsenal de Sarandí
191,['I. Damonte'],[],Sarmiento,Arsenal de Sarandí
192,['L. Viatri'],[],Sarmiento,Arsenal de Sarandí
193,[],['Marco Ruben'],Sarmiento,Arsenal de Sarandí
194,['F. Sánchez'],[],Sarmiento,Arsenal de Sarandí
195,[],['G. Lo Celso'],Sarmiento,Arsenal de Sarandí
196,[],['S. Palacios'],Sarmiento,Arsenal de Sarandí
197,[],['C. Muñoz'],Sarmiento,Arsenal de Sarandí
198,[],['J. Menéndez'],Sarmiento,Arsenal de Sarandí
199,['D. Cháves'],[],Sarmiento,Arsenal de Sarandí
200,[],['F. Zampedri'],Sarmiento,Arsenal de Sarandí
201,['G. Toledo'],[],Sarmiento,Arsenal de Sarandí
202,[],['L. González'],Sarmiento,Arsenal de Sarandí
203,['J. Sand'],[],Sarmiento,Arsenal de Sarandí
204,[],['L. Abecasis'],Sarmiento,Arsenal de Sarandí
205,['R. Martínez'],[],Sarmiento,Arsenal de Sarandí
206,['José Gómez'],[],Sarmiento,Arsenal de Sarandí
208,['J. Blanco'],[],Sarmiento,Arsenal de Sarandí
209,[],['A. Castro'],Sarmiento,Arsenal de Sarandí
